Image,Model,Top1_Class,Top1_Confidence_%,Top5_Predictions
sunflower_2.jpg,DenseNet121,daisy,93.45,daisy (93.4%) | bee (3.5%) | fly (0.8%) | sulphur_butterfly (0.5%) | rapeseed (0.4%)
sunflower_3.jpg,DenseNet121,daisy,98.73,daisy (98.7%) | bee (0.6%) | fly (0.2%) | vase (0.1%) | sulphur_butterfly (0.1%)
sunflower_4.jpg,DenseNet121,daisy,92.79,daisy (92.8%) | bee (2.1%) | sulphur_butterfly (1.5%) | long-horned_beetle (0.5%) | fly (0.4%)
Rose_0.jpg,DenseNet121,sulphur_butterfly,28.2,sulphur_butterfly (28.2%) | gyromitra (8.5%) | cabbage_butterfly (6.3%) | stinkhorn (5.0%) | bee (4.9%)
Rose_1.jpg,DenseNet121,sulphur_butterfly,24.35,sulphur_butterfly (24.4%) | cabbage_butterfly (12.5%) | picket_fence (10.6%) | bee (6.6%) | hip (6.4%)
Rose_2.jpg,DenseNet121,rapeseed,23.55,rapeseed (23.6%) | sulphur_butterfly (10.4%) | bee (7.9%) | picket_fence (7.7%) | cabbage_butterfly (3.4%)
Rose_3.jpg,DenseNet121,rapeseed,23.39,rapeseed (23.4%) | picket_fence (10.8%) | bee (9.9%) | sulphur_butterfly (8.8%) | cabbage_butterfly (4.4%)
Rose_4.jpg,DenseNet121,bee,40.34,bee (40.3%) | sulphur_butterfly (24.6%) | cabbage_butterfly (12.4%) | ringlet (2.7%) | hummingbird (2.5%)
Marigold_0.jpg,DenseNet121,hen-of-the-woods,17.18,hen-of-the-woods (17.2%) | coral_fungus (10.7%) | ear (10.0%) | stinkhorn (6.8%) | gyromitra (6.0%)
Marigold_1.jpg,DenseNet121,hen-of-the-woods,33.56,hen-of-the-woods (33.6%) | cardoon (9.4%) | earthstar (6.3%) | stinkhorn (5.1%) | barn_spider (4.5%)
Marigold_2.jpg,DenseNet121,spaghetti_squash,22.13,spaghetti_squash (22.1%) | daisy (9.0%) | stinkhorn (8.1%) | coral_fungus (3.6%) | plastic_bag (3.5%)
Marigold_3.jpg,DenseNet121,daisy,21.82,daisy (21.8%) | earthstar (12.2%) | coral_fungus (11.1%) | hen-of-the-woods (8.7%) | gyromitra (3.8%)
Marigold_4.jpg,DenseNet121,daisy,12.69,daisy (12.7%) | coral_fungus (10.9%) | hen-of-the-woods (8.0%) | earthstar (4.3%) | vase (3.1%)
Hibiscus_0.jpg,DenseNet121,cabbage_butterfly,18.28,cabbage_butterfly (18.3%) | pot (13.5%) | ant (11.7%) | daisy (5.8%) | leaf_beetle (4.3%)
